Category,Overallrating,NumberReviews,PriceRange,Name
American (Traditional),4,3668,$$$,Wayfare Tavern
Greek,4.5,427,$$,Kitchen Istanbul
Pizza,4,4379,$$,Tony’s Pizza Napoletana
American (New),4,240,$$,Lark
Ramen,4,1987,$$,Izakaya Sozai
Taiwanese,4,266,$$,HoDaLa
Gastropubs,4.5,942,$$,Hogwash
Thai,4,1687,$$,Kin Khao
Basque,4,564,$$,Bask
Spanish,4,1837,$$$,Coqueta
Steakhouses,4,1776,$$$,Lolinda
Seafood,4,2408,$$$,Thanh Long
Japanese,4.5,797,$$,Nara Restaurant & Sake Bar
Comfort Food,4,1673,$$,Starbelly
Italian,4,1239,$$,Trattoria Contadina
Pop-Up Restaurants,5,20,$$$,Anomaly
Steakhouses,4,2039,$$$,5A5 Steak Lounge
Thai,4.5,84,$$,What The Cluck SF
Mexican,4.5,1279,$,Tacorea
Caribbean,4,670,$$,Palm House
Gastropubs,4.5,518,$$,Myriad Gastropub
Southern,4,2604,$$,The Front Porch
British,4.5,2755,$,The Codmother Fish and Chips
Seafood,4,2869,$$,PPQ Dungeness Island
Steakhouses,4,1966,$$$,Bobo’s
Laotian,4,677,$$,Lao Table
Chinese,4,6301,$$,San Tung
Seafood,4,1593,$$,Skool
Ramen,4,1760,$$,Mensho Tokyo
Southern,4,1955,$$,Hops & Hominy
Sushi Bars,4,1200,$$,Tataki
Greek,4.5,4250,$$$,Kokkari Estiatorio
Mediterranean,4.5,934,$$,Tuba Authentic Turkish Restaurant
Indonesian,5,80,$$$,INDO
Seafood,4.5,5434,$$,Hog Island Oyster Co
Mexican,4,4026,$$,Tropisueño
Fondue,4,545,$$,Fondue Cowboy
American (Traditional),4,433,$$,The Dorian
American (Traditional),4,6633,$$$,House of Prime Rib
Tapas/Small Plates,4,700,$$,Izakaya KOU
American (New),4.5,5229,$$$$,Gary Danko
Breweries,4,496,$$,Barrel Head Brewhouse
Seafood,4.5,3291,$$,Sotto Mare Oysteria & Seafood
Pizza,4,3085,$$,Zero Zero
Seafood,4,3313,$$$,Scoma’s Restaurant
American (New),4,2562,$$,Marlowe
Tapas/Small Plates,4,1942,$$,Loló
American (Traditional),4.5,332,$$,Mersea
Asian Fusion,4.5,4463,$$$,The House
Bars,4.5,1956,$$$,Liholiho Yacht Club
Ramen,4.5,1700,$$,Marufuku Ramen SF
Thai,4,1601,$$,Farmhouse Kitchen Thai Cuisine
Seafood,4,4805,$$,Fog Harbor Fish House
Vietnamese,4.5,369,$$,Ly’s Vietnamese Cuisine
French,4.5,1201,$$$,L’Ardoise Bistro
Latin American,4,1086,$$,Parada 22
French,4.5,192,$$$,Mathilde French Bistro
Breakfast & Brunch,4,4093,$$,Zazie
Japanese,4.5,240,$$$$,Sushi Hon
Mexican,4,3659,$,La Taqueria
Thai,3.5,2224,$$,Osha Thai
Vietnamese,4,1333,$$,Yummy Yummy
Asian Fusion,4,428,$$,Chubby Noodle
Burgers,4,1089,$$,Roam Artisan Burgers
Italian,4,1068,$$$,54 Mint - Ristorante Italiano
Chinese,4,90,$$,Orchids Cafe
Vietnamese,4,494,$$,Le Soleil
Seafood,4.5,317,$$,Hook Fish
Sports Bars,4,249,$$,Rumors
Thai,4,1246,$$,House of Thai
American (Traditional),4,217,$$,Stuffed
Thai,4,440,$$,Sweet Lime Thai Cuisine
Italian,4.5,932,$$,Il Casaro Pizzeria & Mozzarella Bar
Steakhouses,4,1745,$$$$,Harris’ Restaurant
Latin American,4.5,62,$$,School Night
French,4.5,716,$$$,Bouche
Comfort Food,4,564,$$,MAC’D
Chinese,4,782,$$,IPOT
Sandwiches,5,34,$,Hotbird
Mini Golf,4.5,1221,$$,Urban Putt
Mexican,4,1410,$$,The Little Chihuahua
American (Traditional),3.5,335,$$,Finn Town Tavern
Izakaya,4.5,96,$$,Izakaya Yoki
Asian Fusion,4.5,302,$$,The Spice Jar
Sushi Bars,4,287,$$,Okane
Wine Bars,4.5,136,$$,Indian Paradox
Persian/Iranian,4,396,$$,Anar
Sushi Bars,4.5,372,$$$$,Omakase
American (New),4.5,107,$$$$,Birdsong
Malaysian,4,269,$$,Azalina’s
American (New),4,1466,$$,Serpentine
Breakfast & Brunch,4,4558,$$$,Foreign Cinema
Cafes,5,21,$,Mauerpark
Japanese,4,1422,$$,Sushirrito
Italian,4,434,$$$,Bacco
Vietnamese,4,1511,$,Pho Huynh Hiep 2 - Kevin’s Noodle House
Ramen,4,347,$$,Iza Ramen SOMA
Wine Bars,4,274,$$,Aquitaine
Bars,4,612,$$,Sauce - Belden
Gastropubs,4.5,184,$$,Fermentation Lab
Korean,4,80,$$,Seokyo
Cajun/Creole,4,545,$$,Queen’s Louisiana Po-Boy Cafe
Seafood,4,2215,$$$,Tadich Grill
American (New),4.5,201,$$$,3rd Cousin
Vietnamese,4,1159,$$,Perilla
Indian,4,249,$$,Om Indian Cuisine
Tapas Bars,4,848,$$,Halu
Seafood,3.5,2073,$$$,Crab House at Pier 39
Italian,4.5,1042,$$$$,Acquerello
Barbeque,4.5,32,$$,Native Sons BBQ
Pizza,4,941,$$,Delarosa
Cajun/Creole,4,559,$$,Buttermilk Southern Kitchen
Italian,4,53,$$$,PRAIRIE
Italian,4,546,$$,Vega
Seafood,4.5,362,$$,Red Hill Station
Asian Fusion,4,907,$$,E&O Kitchen and Bar
Italian,4,1982,$$,È Tutto Qua
Seafood,5,99,$$$,Ichido
Italian,4.5,124,$$,InoVino
Caribbean,4,128,$$,Kaya
American (New),4,50,$$$$,AVERY
Italian,3.5,1461,$$,Cioppino’s
Peruvian,3.5,912,$$,Fresca
Pizza,4.5,528,$$,Montesacro Pinseria-Enoteca
Chinese,4,1918,$$,Hunan Home’s Restaurant
French,4,1949,$$$,Isa Restaurant
American (New),4,1591,$$$,Hakkasan
Italian,3.5,2173,$$$,Flour + Water
Bars,4,2098,$$,The Monk’s Kettle
American (New),4,1503,$$$,Prospect
Italian,4.5,336,$$,Marcella’s Lasagneria
Chicken Shop,4,1165,$,The Bird
Korean,3.5,197,$$,The Korean Kitchen
Comfort Food,4,277,$$,Bergerac
Gluten-Free,4,1375,$$,Pica Pica Arepa Kitchen
Seafood,3.5,1606,$$$,Franciscan Crab Restaurant
Thai,4.5,373,$$,Ben Thai Cafe
Indian,4,1273,$$,North India Restaurant
Thai,4,2096,$$,Lers Ros
Greek,4,1143,$$,Souvla
Dim Sum,4,843,$,Delicious Dim Sum
Mediterranean,4,671,$$,Arabian Nights Restaurant
Comfort Food,4,80,$$,MAC’D
Mexican,4,211,$$,Tacorgasmico
Vietnamese,4.5,154,$,DragonEats
Korean,4,140,$$,Stone Bowl Plus
Breakfast & Brunch,4.5,79,$$,1608 Bistro
Filipino,4.5,113,$$,Malasa
American (New),4,744,$$$$,The Progress
Latin American,4,1166,$$,Destino
Vietnamese,4,239,$$,Laksa
Asian Fusion,4,1739,$$$,AsiaSF
Italian,4,1390,$$,Delarosa
Izakaya,4,483,$$$,Rintaro
Wine Bars,4,1105,$$,District San Francisco
American (New),4,1068,$$$,Rich Table
American (Traditional),4,1709,$$$,BIX
Wine Bars,4,804,$$,Fat Angel
American (New),4,1422,$$$,Firefly Restaurant
Spanish,4,1426,$$,Picaro
Seafood,3.5,2807,$$$,Waterbar
Seafood,4,508,$$,Mission Street Oyster Bar & Seafood Restaurant
Vietnamese,4,632,$$,Jasmine Garden
Ramen,3.5,604,$$,Ippudo San Francisco
Portuguese,4,219,$$$,Uma Casa
Pizza,4.5,918,$$,Baonecci Ristorante
American (New),4,638,$$,Causwells
Italian,4,893,$$,Uva Enoteca
Japanese,4.5,280,$$,Akira Japanese Restaurant
French,4,623,$$,Bistro Aix
Pizza,5,26,$$,Square Pie Guys
Mexican,4,1197,$$,Velvet Cantina
Seafood,4,2557,$$,Swan Oyster Depot
Sushi Bars,4,652,$$,Kaiju Eats Ramen and Izakaya
French,4,724,$$,Le P’tit Laurent
Italian,4.5,514,$$,Caffe Macaroni
Breakfast & Brunch,4.5,158,$$,Wooden Spoon
Brazilian,3.5,683,$$$,Fogo de Chão Brazilian Steakhouse
American (New),4,691,$$,Per Diem
Pizza,4.5,678,$$,Mozzeria
Korean,4,376,$$,The Crew
Pizza,4.5,2783,$$,Little Star Pizza
Pizza,4,1428,$$,Pizzeria Delfina
Mexican,4.5,1423,$$,Garaje
Barbeque,4,263,$$,Kogi Gogi BBQ
Italian,4,445,$$,Barzotto
Moroccan,4,861,$$$,Mourad Restaurant
Spanish,4,188,$$$,Bota Tapas & Paella Bar
American (Traditional),4,2731,$,Tommy’s Joynt
Mediterranean,4,453,$$,Mazzat
Korean,4,504,$,Aria Korean Tapas
Burmese,4,950,$$,Burma Love
Sushi Bars,5,6,$$,Yakumi Freestyle Omakase
Chinese,4,817,$,House Of Pancakes
American (New),4,2561,$$$$,Boulevard
American (New),4.5,740,$$$,Trestle
Japanese,4,556,$$,KoJa Kitchen
Bars,4.5,431,$$,Coin-Op Game Room
American (Traditional),4,1804,$$$$,Spruce
Seafood,4,1531,$$$$,Farallon
Korean,4,968,$$,Manna
Southern,4.5,796,$$,Rusty’s Southern
Burgers,4.5,159,$$,Native Burger
Cocktail Bars,4,200,$$,Horsefeather
Italian,4,619,$$,Ragazza
American (New),4.5,992,$$$$,Benu
Japanese,4,455,$$,Takoba SF
Italian,3.5,280,$$$,Che Fico
French,4.5,2595,$$$,Chapeau!
American (New),4.5,857,$$$,Stones Throw
Gastropubs,3.5,1480,$$,The Tipsy Pig
Japanese,4.5,98,$$,Goemon
Latin American,4.5,266,$$,The Castro Republic
Barbeque,4,502,$$,Jang Soo BBQ
Korean,4.5,99,$$,Go Go 7
Hot Pot,4.5,722,$$,Boiling Hot Pot
Pizza,4,2238,$$,Pizzeria Delfina - San Francisco
Bars,3.5,169,$$,Hollow Cow
German,4,957,$$,Walzwerk
