Category,Overallrating,NumberReviews,PriceRange,Name
Vietnamese,3.5,1182,$,Golden Star Vietnamese Restaurant
Shanghainese,4.5,164,$$,Jiangnan Cuisine
Middle Eastern,4,755,$$,Maykadeh
Indian,4.5,134,$$,Lotus SF
Sports Bars,4,213,$$,San Francisco Athletic Club
Poke,4.5,58,$$,I’a Poke
Pizza,4.5,89,$$,Ardiana
Food Stands,3.5,388,$$,Fisherman’s Wharf  Chowder and Crab Sidewalk Stands
Wine Bars,4.5,185,$$,Bodega
Wine Bars,4.5,118,$$,High Treason
Russian,4.5,140,$,Pushkin
American (New),4.5,1149,$$$,Frascati
Vietnamese,4.5,332,$,DragonEats
Indian,4,231,$$,Holy Kitchen
Barbeque,3.5,853,$$,The Pub At Ghirardelli Square
Seafood,3.5,768,$$,The Old Clam House
Chinese,4,146,$,Yuanbao Jiaozi
Latin American,4.5,21,$$,Pico Latin Street Food
Greek,4,330,$$,Orexi
Bars,4,299,$$$,Leo’s Oyster Bar
Spanish,3.5,331,$$$,The Commissary
Breweries,3.5,1743,$$,Magnolia Haight
Szechuan,4.5,223,$$,Szechuan Cuisine
Nicaraguan,4,29,$$,El Rinconcito Nicaraguense
Middle Eastern,4,734,$$,Bursa
Steakhouses,4,780,$$,Bullshead Restaurant
Peruvian,4,221,$$,La Fina Estampa
American (New),4.5,123,$$$,Sorrel
Mexican,3.5,76,$$,Papi Rico
American (New),4,745,$$$$,Coi
Italian,4,870,$$,La Briciola
French,4,1920,$$$,Cafe Claude
Bars,4,40,$$,Bon Voyage
Mediterranean,4,597,$$$,Terzo
Sushi Bars,4,1506,$$,Sushi Bistro
German,4,521,$$,Biergarten
Mexican,4,314,$,El Rancho Grande
Turkish,5,79,$$$,Istanbul Modern SF
Italian,4,383,$$,Pane E Vino
Pizza,4,1083,$$,Gialina Pizzeria
Korean,3.5,455,$$,Zazang Korean Noodles
French,4.5,907,$$$,Bistro Central Parc
Thai,3.5,890,$$,Osha Thai
Tea Rooms,5,6,$,Elixart Herbal Lounge
French,4.5,647,$$$$,Atelier Crenn
Vietnamese,4,1015,$,Cordon Bleu
Mexican,4.5,254,$$$$,Californios
Seafood,4,1529,$$,Pacific Catch
Dim Sum,4,336,$$,Dim Sum Club
Taiwanese,4,372,$$,Tasty Pot
Asian Fusion,4,192,$$,Foxsister
Burgers,4,2079,$$,Pearl’s Deluxe Burgers
French,4,338,$$$$,Petit Crenn
Pop-Up Restaurants,5,15,$$,ChiliCali
American (New),3.5,661,$$,Fog City
French,4,993,$$,Chez Maman West
American (New),3.5,572,$$,Hard Water
Thai,4,411,$$,Siam Lotus Thai Cuisine
Vietnamese,3.5,655,$$,OTD
Vietnamese,4,692,$,Pho 2000
Peruvian,4,702,$$,Mi Lindo Peru
Vietnamese,4,660,$,Tú Lan
Steakhouses,3.5,2085,$$$,EPIC Steak
Indian,4,880,$$,Aslam’s Rasoi
Russian,4,286,$$,Red Tavern
Seafood,4,612,$$,Alamo Square Seafood Grill
Korean,4,364,$$,Um Ma Son
Italian,4.5,12,$$,The Italian Homemade Company
Ramen,4,413,$$,Coco’s Ramen
Mediterranean,4.5,280,$$,Sababa
Chinese,4,122,$,People’s Bistro
Italian,4,218,$$,Manzoni
Thai,4,1672,$$,Marnee Thai
Vietnamese,4,809,$$,Mau
Venues & Event Spaces,3.5,883,$$,Sens Restaurant
Mediterranean,4.5,221,$,Fayala
Japanese,4,426,$$,Glaze Teriyaki
American (New),4.5,193,$$$,The Morris
Burmese,4.5,97,$$,Golden Burma
Japanese,3.5,658,$$,Kui Shin Bo
Ramen,4,163,$$,Ushio Ramen
Pakistani,4,60,$$,Naan N Curry
American (New),4,312,$$,Archive Bar & Kitchen
Tapas/Small Plates,4.5,67,$$,Kaiju Cooks
Falafel,4.5,806,$,The Flying Falafel
Indian,4.5,155,$$,Tilak
Bakeries,4,7481,$$,Tartine Bakery & Cafe
Taiwanese,4,413,$$,Hanlin Tea Restaurant
Chinese,4.5,24,$,New Fortune Restaurant
Pizza,4,1964,$$,Little Star Pizza
Peruvian,4,386,$$,Mochica
Coffee & Tea,4,1635,$$,Farm : Table
Chinese,3.5,3154,$$,House of Nanking
Thai,4.5,58,$,Mae Krua
Comfort Food,4.5,66,$$,Belle Cora
Italian,4,704,$$,Ideale
Vietnamese,3.5,296,$,Mai’s Vietnamese Restaurant
Argentine,4.5,562,$,Tanguito
American (New),4,891,$$,Olea
Vietnamese,4.5,3090,$,Saigon Sandwich
Hot Dogs,4.5,42,$,On Dog Dog
Salvadoran,4,620,$,Balompie Cafe
Pizza,4,110,$$,Bizza
Sports Bars,4,1730,$$,The Taco Shop At Underdog’s
Seafood,3.5,1050,$$,Plouf
Breakfast & Brunch,4,2341,$$,Plow
Noodles,3.5,1412,$$,Suzu Noodle House
Middle Eastern,4.5,152,$$,Yemen Kitchen
Gastropubs,4,1127,$$,Mikkeller Bar
Vietnamese,4,324,$,DragonEats
Gluten-Free,4.5,484,$,Hot Spud
Hawaiian,4,39,$,Pacific Eatery
Bars,3.5,1876,$$,Cha Cha Cha
Mexican,4,641,$$,Papito Potrero Hill
Sushi Bars,4,1024,$$,Sushi Zone
Ramen,4,61,$$,RakiRaki Ramen & Tsukemen
Karaoke,4.5,43,$,Underground Grill King
Italian,3.5,1914,$$$,A16
Italian,4,792,$$$,Capannina
American (New),3,2953,$$,The Cheesecake Factory
Breakfast & Brunch,4,1302,$$,Universal Cafe
Japanese,4,573,$$,Umi
American (New),3.5,299,$$,Black Cat
Asian Fusion,3.5,401,$$,Slurp Noodle Bar
Basque,4,845,$$$,Piperade
American (Traditional),4,145,$$,Smokin’ Warehouse Barbecue
Hawaiian,4,443,$$,Poki Time
Thai,3.5,332,$$,Rin’s Thai Restaurant
Seafood,4,310,$,Balompie Cafe No 3
Sports Bars,4,289,$$,Bistro Gambrinus
Ramen,4,96,$$,Amami
New Mexican Cuisine,3.5,1252,$$,Green Chile Kitchen
Filipino,4,1439,$,Señor Sisig
Japanese,4,216,$$,Kagawa-Ya Udon
Wine Bars,4.5,29,$$,Howells
Wine Bars,4,168,$$,Wine Kitchen
Gastropubs,3.5,153,$$,Patriot House
Seafood,3.5,745,$$,Capurro’s
Cantonese,4,417,$,Kam Po Kitchen
Thai,3.5,1609,$$,Osha Thai Restaurant
Thai,3.5,661,$$,Ploy II
Italian,3.5,450,$$,Jackson Fillmore Trattoria
Tapas/Small Plates,4,1030,$$,15 Romolo
Vietnamese,3.5,101,$$,Perilla
Thai,4,228,$$,Me & Tasty
American (New),4,367,$$$,Aster
Thai,3.5,419,$$,Hawker Fare
Turkish,4,759,$$,A La Turca Restaurant
American (Traditional),3.5,39,$$,Smokin’ Warehouse Barbecue - Sacramento Street
Mediterranean,4,1188,$,Oasis Grill
Indian,4.5,235,$$,A Desi Cafe
Indian,5,3,$$,Amirah
American (Traditional),4,127,$$,Marengo On the Alley
Tapas/Small Plates,4,64,$$,Sugarhill Kitchen
Halal,3.5,658,$$,The Halal Guys - San Francisco
American (New),4.5,311,$$,Radio Africa Kitchen
Thai,4,410,$$,Amphawa
Mexican,4,353,$$,Flores
Wine Bars,4,424,$$,The Social Study
Burgers,3,926,$$,Umami Burger Soma District
American (New),4,344,$$,Hillside Supper Club
Turkish,4,92,$$,SINI
Hot Pot,4.5,12,$$,The Place Hot Pot & Grill
Burgers,4.5,157,$$,Burger Shack
Japanese,4.5,107,$$,Nara
Beer Gardens,4.5,189,$$,Ocean Ale House
American (New),3.5,428,$$,Sessions at the Presidio
Szechuan,4,115,$$,Sizzling Pot King
Hot Dogs,4.5,1577,$,Rosamunde Sausage Grill - San Francisco
Barbeque,3.5,411,$$,Carbon Grill
Ethiopian,4.5,210,$$,Oasis Cafe
American (Traditional),4,3146,$$,Sweet Maple
Middle Eastern,5,218,$$,Tahini
Vietnamese,4,705,$$,Aux Delices Vietnamese Restaurant
Japanese,4.5,479,$$$$,Wako Japanese Restaurant
Szechuan,4,131,$$,Spices
Italian,4.5,86,$$$,Francisca’s
Greek,3.5,881,$$,Goood Frikin Chicken
Ethiopian,4.5,144,$$,Tadu Ethiopian Kitchen
Hawaiian,4,326,$,Hawaiian Drive Inn
Pizza,4,227,$$,Firepie
Mediterranean,4,401,$$,Layaly
Seafood,3.5,1599,$$,Pier 23 Cafe
Vietnamese,4,1141,$,Cafe Bunn Mi
Mexican,4,2391,$,Pancho Villa Taqueria
Mediterranean,4.5,217,$$,SF Kebab
Korean,3.5,588,$$,Arang Restaurant
Chinese,3.5,1465,$$,Fang
Indian,4,592,$$,August 1 Five
Soul Food,4,387,$$,Frisco Fried
Bars,4,736,$$,Fly Bar
Pizza,4,391,$$,Jersey
Mexican,4,801,$,El Castillito
Sushi Bars,4,856,$$,Domo
Bars,3.5,234,$$,Palmer’s
American (New),4,108,$$$,Gardenias
Bars,4,947,$$$,The Fly Trap
Cambodian,4.5,48,$$,Braised + Bread
Mexican,4.5,26,$$,Chicano Nuevo
Asian Fusion,4,245,$$$,1601 Bar & Kitchen
Italian,2.5,1054,$$,Olive Garden Italian Restaurant
Mexican,4,864,$,Taqueria Guadalajara
Indian,4,486,$$,Saffron Grill
Cafes,5,7,$$,Word. A Cafe
Tapas/Small Plates,4,370,$$,Beso Bistronomia
American (Traditional),4,544,$$,Dobbs Ferry Restaurant
Seafood,3.5,1375,$$,Bistro At The Cliff House
American (New),4,1487,$$$,Park Tavern
Vegan,4,2959,$$,Gracias Madre
Vietnamese,3.5,399,$$,Co Nam
Thai,4.5,675,$$,Thai Idea Vegetarian
Japanese,4.5,146,$$,"Bon, Nene"
Seafood,3,1132,$$$,McCormick & Kuleto’s Seafood & Steaks
Italian,3.5,825,$$,Original Joe’s Westlake
Chinese,3.5,450,$$,Terra Cotta Warrior
French,4,3160,$$$,Absinthe Brasserie & Bar
Cuban,4,274,$$,Media Noche
American (Traditional),4,1500,$$,Delancey Street Restaurant
Ramen,3.5,1235,$$,Ramen Yamadaya
Japanese,4,137,$$,Sakesan Sushi & Robata
Bars,3.5,404,$$,Tap415
Vietnamese,4,988,$$,Miss SaiGon
Indian,4,1969,$$$,Amber India
American (Traditional),4,685,$,Tempest
Pizza,3.5,1403,$$,Calzone’s Restaurant
Pizza,4,397,$$,Acquolina
Sushi Bars,4.5,119,$$$$,An Japanese Restaurant
Tacos,4.5,244,$$,Chisme Cantina
Japanese,4,27,$$,Udon Underground
Southern,4,335,$$,Hazel Southern Bar & Kitchen
Japanese,5,2,$$,Asahiru
Thai,4,503,$$,Regent Thai Restaurant
Salvadoran,5,7,$,Panchitas Pupuseria
British,4.5,1132,$$,Lovejoy’s Tea Room
American (New),4,783,$$,Cassava
American (New),4,118,$$$$,Nightbird
Seafood,3.5,1675,$$,Pacific Catch
Hot Pot,4,34,$$,Fondue Chinoise
Japanese,4.5,112,$$,Mamanoko
Vietnamese,3.5,417,$$,My Father’s Kitchen
Vietnamese,4,634,$,Turtle Tower
Mediterranean,3.5,325,$$$,Tawla
Pizza,4.5,723,$$,Carmel Pizza Company
American (New),4,1010,$$$,Commonwealth
Spanish,3.5,1009,$$$,B44 Catalan Bistro
Korean,4,222,$$,Dancing Bull
Bars,4,578,$$,The Brick Yard
American (New),4,553,$$,Mr Pollo
Indonesian,3.5,868,$$,Borobudur Restaurant
Italian,4,552,$$,Amarena
Comfort Food,4,235,$$,The Willows
Thai,3.5,561,$$,Thai House Express
American (New),4,291,$$,Corridor Restaurant
Sandwiches,5,546,$$,Limoncello
Thai,3.5,1743,$$,King Of Thai Noodle House
American (Traditional),4,1932,$$,Chow
Italian,4,893,$$,Gaspare’s Pizza House & Italian Restaurant
Diners,4,774,$$,Breakfast at Tiffany’s
Pizza,4,302,$$,Slice House
Italian,4,481,$$$,Venticello Ristorante
Vegan,4.5,164,$$,Nick’s Kitchen
Mexican,4,821,$,Taqueria Los Coyotes
Sushi Bars,4,138,$$$$,Kingza
Thai,4,560,$$,Manora’s Thai Cuisine
Asian Fusion,4,336,$$,RAW Sugar Factory
Japanese,4.5,222,$$,Pokihub
Chinese,4,334,$,Elaine’s Kitchen
Thai,4,109,$$,Mangrove Kitchen
Breakfast & Brunch,5,7,$,La Cuisine Café
Pizza,4,669,$,Marcello’s Pizza
Burgers,3.5,782,$$,Barney’s Gourmet Hamburgers
Lounges,4,137,$$,Rusted Mule
Latin American,4.5,504,$$,Poc-Chuc
Mediterranean,4,580,$$,Saffron 685
American (New),4,128,$$,Heritage Restaurant & Bar
Mexican,4,1957,$,Taqueria Cancún
Szechuan,4.5,172,$,Village House
Tea Rooms,4,2243,$$,Samovar Tea - Yerba Buena Gardens
Indian,4.5,107,$$,Spice of America
Poke,4,205,$$,I’a Poke
Chinese,4,602,$,Cheung Hing
Mexican,4.5,586,$,La Palma Mexicatessen
Italian,3.5,761,$$$,North Beach Restaurant
Mexican,3,274,$$,Arguello
American (New),3.5,357,$$,Stem Kitchen & Garden
American (Traditional),4,4165,$$,Dottie’s True Blue Cafe
Seafood,3,1656,$$,Alioto’s Restaurant
Burgers,4,785,$$,Super Duper Burgers
Bubble Tea,4.5,249,$,Urban Ritual
American (Traditional),4,396,$$,Louie’s Bar
Breweries,3.5,257,$$,Black Sands
Japanese,4,697,$$,Sushi Time
Russian,4.5,101,$,Silk Road
Vietnamese,4,859,$,Dinosaurs
Vietnamese,4,130,$$,Sunflower Garden
Latin American,4,269,$$,Artesano
American (New),4.5,82,$$,Cultivar San Francisco
Vietnamese,4,595,$,Pho Tan Hoa
French,3.5,799,$$$,Garçon
Seafood,4,2199,$$$,Roy’s Restaurant
Japanese,4.5,30,$$,Sake Bomb
Italian,4,521,$$,Magic Flute Ristorante
Scandinavian,4.5,76,$$,Kantine
Thai,4,572,$$,Khan Toke Thai House
Burgers,3,2197,$$,Burger Bar
American (Traditional),4,756,$,Buster’s Cheesesteak
Ramen,4,457,$$,Miki Restaurant
Pubs,4,320,$$,Richmond Republic Draught House
Dim Sum,3.5,2425,$$$,Yank Sing
Bars,4,332,$$,Asiento
Italian,4,289,$$$,Da Flora-A Venetian Osteria
Thai,4,197,$$,Rooster & Rice
Thai,3.5,717,$$,Lers Ros Thai
Cafes,4,471,$,Boba Guys
Wine Bars,4,18,$$,Santino’s Vino
Ethiopian,4,696,$$,New Eritrea Restaurant & Bar
Pizza,4.5,144,$$,Katani Pizza
Bars,4,543,$$,The Spot Lounge
Delis,4.5,1034,$$,Molinari Delicatessen
Szechuan,4,97,$$,General Tso Kitchen
Seafood,3.5,752,$,Chowders
Chinese,4,462,$$,Chang’s Kitchen
Italian,3.5,1886,$$$,SPQR
Turkish,4,557,$$,Pera
Burgers,4,1248,$$,Super Duper Burgers
Burgers,4,1489,$$,Roam Artisan Burgers
Middle Eastern,4,408,$$,Yemeni Restaurant
Japanese,4,759,$$,O-Toro Sushi
Falafel,4,94,$$,SAJJ Mediterranean
Chinese,4,649,$$,The Pot’s
Cocktail Bars,4,281,$$,Southside Spirit House
Argentine,4,109,$,El Sur
Indian,4.5,139,$,Chanvi Eatery
Korean,4,574,$$,707 Sutter
Piano Bars,3.5,350,$$,Noir Lounge
Irish,4,1195,$$,Johnny Foley’s
Sandwiches,4,596,$$,Naked Lunch
Mexican,4,2162,$$,Colibri Mexican Bistro
Breakfast & Brunch,4.5,327,$$,Lapisara Eatery
Diners,4,1051,$,Art’s Cafe
Vietnamese,4,329,$,Thai Nghiep Ky Mi Gia
South African,4,208,$,Amawele’s South African Kitchen
Creperies,4.5,559,$,Crepes A Go Go
Shanghainese,3.5,116,$$,Gourmet Noodle House
Korean,4,53,$$,Matko
Breweries,3,2537,$$,The Beach Chalet Brewery & Restaurant
Wine Bars,4,123,$$,Union Larder
Ethiopian,4,659,$$,Assab Eritrean Restaurant
American (New),3.5,1888,$$$,Town Hall
Vietnamese,4,534,$$,Anh Hong Bo 7 Mon
Sports Bars,4,170,$$,Local Tap
Mediterranean,4.5,108,$$,Mangiare SF
Bakeries,4,3034,$$,Boudin Bakery & Cafe
Szechuan,4,391,$$,Sichuan Home
Ramen,3.5,788,$$,Waraku
Pubs,4,327,$$,Grumpy’s American Pub
Pizza,4,518,$$,Pachino Trattoria & Pizzeria
Sushi Bars,4.5,252,$$,Kuma Sushi + Sake
Hot Pot,4,139,$$,Simmer
Turkish,4,110,$$,Park Gyros - Castro
Bars,4,124,$$,Don Pistos Tequila Bar
Do-It-Yourself Food,4.5,93,$,Yummy Dumpling
Fast Food,4,1711,$,In-N-Out Burger
Caribbean,4,35,$$,Peaches Patties Jamaican Kitchen
Filipino,5,16,$,Turo Cafe and Grill
Vegan,4,638,$$,VeganBurg
Breweries,3.5,907,$$,Social Kitchen & Brewery
Wine Bars,4,630,$$,Jamber
Dim Sum,3.5,889,$$,Hong Kong Lounge II
Wine Bars,4.5,93,$$,Birba
Vietnamese,3.5,31,$,Pho 335
Ethiopian,4,556,$$,Sheba Piano Lounge
Italian,3.5,247,$$,Osteria
Dim Sum,4,344,$,Dol Ho
Poke,4.5,64,$$,Poke Fusion
Pizza,4,282,$$,Pizzahacker
Burgers,4,342,$$,Halal Wings Plus
Steakhouses,3.5,279,$$$,Leatherneck Steakhouse
Sushi Bars,3.5,295,$$,Takara Sushi
