Category,Overallrating,Name,Delivery,NumberReviews,PriceRange
American (New),4,Nopa,No,4849,$$$
Seafood,4,Angler,No,77,$$$
Burmese,4,Mandalay,No,2061,$$
Chinese,4,Mister Jiu’s,No,475,$$$$
Seafood,4,Dragon Beaux,No,1208,$$
Breakfast & Brunch,4.5,1608 Bistro,No,79,$$
Ramen,4,Iza Ramen Lower Haight,No,589,$$
Seafood,4,Pier Market Seafood Restaurant,No,1519,$$
Chinese,3.5,R&G Lounge,No,4158,$$
American (New),4,The Pink Elephant Alibi,No,992,$$
Italian,4,Emmy’s Spaghetti Shack,Yes,406,$$
Pop-Up Restaurants,5,Anomaly,No,20,$$$
Pizza,4,Tony’s Pizza Napoletana,Yes,4383,$$
Noodles,4,Chubby Noodle,No,577,$$
Mexican,4,Padrecito,Yes,789,$$
Ramen,4,Izakaya Sozai,No,1987,$$
Laotian,4,Lao Table,Yes,681,$$
Soul Food,4.5,Old Skool Cafe,No,504,$$
Steakhouses,4,Bobo’s,No,1967,$$$
Spanish,4,Coqueta,No,1838,$$$
Italian,4,Barbacco,Yes,1538,$$
Italian,4,Trattoria Contadina,No,1241,$$
American (Traditional),4,The Dorian,No,434,$$
American (Traditional),4,House of Prime Rib,No,6639,$$$
Southern,4,The Front Porch,Yes,2605,$$
Steakhouses,4,5A5 Steak Lounge,No,2041,$$$
Southern,4,Hops & Hominy,No,1957,$$
Basque,4,Bask,Yes,564,$$
Caribbean,4,Palm House,Yes,672,$$
Seafood,4,Skool,No,1594,$$
Seafood,4,Thanh Long,No,2410,$$$
Sushi Bars,4,Tataki,No,1199,$$
Pizza,4,Zero Zero,No,3086,$$
Mexican,4,Tropisueño,No,4027,$$
Seafood,4,PPQ Dungeness Island,No,2872,$$
Mediterranean,4.5,Tuba Authentic Turkish Restaurant,Yes,935,$$
Fondue,4,Fondue Cowboy,No,545,$$
Tapas/Small Plates,4,Izakaya KOU,No,702,$$
Ramen,4,Mensho Tokyo,No,1770,$$
Seafood,4.5,Sotto Mare Oysteria & Seafood,No,3292,$$
Thai,4.5,What The Cluck SF,Yes,84,$$
Cafes,4.5,Yo También Cantina,N/A,24,$
Korean,4.5,Surisan,No,1070,$$
Burmese,4,Burma Superstar,No,6386,$$
Breakfast & Brunch,4,Zazie,No,4094,$$
Chinese,4,San Tung,No,6303,$$
Mexican,4.5,Tacorea,No,1283,$
Greek,4.5,Kokkari Estiatorio,Yes,4253,$$$
Breweries,4,Barrel Head Brewhouse,No,496,$$
Tapas/Small Plates,4,Loló,No,1944,$$
American (New),4,Marlowe,No,2564,$$
American (New),4.5,Gary Danko,No,5249,$$$$
Bars,4.5,Liholiho Yacht Club,No,1959,$$$
Breakfast & Brunch,4,Kitchen Story,Yes,2765,$$
Breakfast & Brunch,4,Brenda’s French Soul Food,Yes,10052,$$
British,4.5,The Codmother Fish and Chips,No,2757,$
Asian Fusion,4.5,The House,No,4466,$$$
Seafood,4.5,Hog Island Oyster Co,No,5442,$$
Thai,4,Farmhouse Kitchen Thai Cuisine,Yes,1606,$$
Ramen,4.5,Marufuku Ramen SF,No,1714,$$
American (Traditional),4.5,Mersea,No,332,$$
Seafood,4,Fog Harbor Fish House,No,4819,$$
American (New),4,Per Diem,No,693,$$
Korean,4,Manna,No,969,$$
Lounges,4,Azucar Lounge,No,617,$$
French,4,Le P’tit Laurent,No,725,$$
Wine Bars,4,Aquitaine,No,274,$$
Italian,4,a Mano,No,607,$$
Italian,4,È Tutto Qua,No,1986,$$
Asian Fusion,4,E&O Kitchen and Bar,No,909,$$
Burmese,4,Burma Love,Yes,952,$$
Comfort Food,4,Bergerac,No,278,$$
Vietnamese,4,Le Soleil,Yes,494,$$
Italian,4,Piccino,No,1330,$$
Pubs,3.5,Schroeder’s,Yes,426,$$
Cocktail Bars,4.5,Louie’s Gen-Gen Room,No,170,$$
Ramen,4,Iza Ramen SOMA,Yes,349,$$
Pizza,4.5,Pink Onion,Yes,257,$$
Sports Bars,4.5,After Hours,Yes,66,$$
Izakaya,4,Izakaya Yoki,No,99,$$
Portuguese,4,Uma Casa,No,219,$$$
Barbeque,4,CatHead’s BBQ,Yes,857,$$
Brazilian,3.5,Fogo de Chão Brazilian Steakhouse,No,688,$$$
Indian,4.5,Keeva Indian Kitchen,Yes,364,$$
Izakaya,4,Rintaro,No,483,$$$
Vietnamese,4,Kim Son Vietnamese Restaurant,No,664,$
Korean,4,My Tofu House,No,1606,$$
Seafood,4,Tadich Grill,Yes,2217,$$$
Italian,4,54 Mint - Ristorante Italiano,No,1068,$$$
Italian,3.5,Che Fico,No,281,$$$
American (New),4,Coi,No,747,$$$$
Breweries,3,The Beach Chalet Brewery & Restaurant,No,2541,$$
Mediterranean,4,Mazzat,No,453,$$
Bars,4.5,PianoFight,No,175,$$
Japanese Curry,4,Muracci’s Japanese Curry & Grill,No,1631,$$
Italian,4,Ragazza,No,620,$$
Seafood,4,Pacific Cafe,No,709,$$
American (New),4,Aliment,No,527,$$
Mediterranean,4,Arabian Nights Restaurant,Yes,672,$$
Italian,4.5,Il Casaro Pizzeria & Mozzarella Bar,Yes,933,$$
Thai,4,Marnee Thai,Yes,1571,$$
Moroccan,4,Aicha Moroccan Cuisine,No,459,$$
American (New),4,Chambers,No,923,$$
American (New),4,Maven,No,649,$$
Latin American,4,Destino,No,1166,$$
Italian,4,Vega,No,549,$$
Vietnamese,4,Perilla,Yes,1163,$$
American (New),4,Cassava,No,785,$$
Filipino,4.5,Malasa,Yes,113,$$
Japanese,4.5,Sushi Hon,No,240,$$$$
Spanish,4,Picaro,No,1427,$$
Dim Sum,4,Delicious Dim Sum,No,844,$
French,4.5,Bouche,No,716,$$$
American (New),4,Eureka Restaurant & Lounge,No,592,$$
Chinese,3.5,China Live,Yes,832,$$
American (Traditional),4,Sweet Maple,No,3148,$$
Persian/Iranian,4,Anar,Yes,398,$$
Italian,4,Delfina,No,1991,$$$
Breakfast & Brunch,4,Foreign Cinema,No,4560,$$$
Vietnamese,4,Yummy Yummy,Yes,1333,$$
Comfort Food,4,MAC’D,Yes,565,$$
Soul Food,4,Brenda’s Meat & Three,Yes,869,$$
Bars,4,Sauce - Belden,No,612,$$
Steakhouses,4,Harris’ Restaurant,No,1747,$$$$
Seafood,4.5,Red Hill Station,No,362,$$
Mexican,4,La Taqueria,No,3666,$
Bars,3.5,Hollow Cow,No,169,$$
Barbeque,4,Kogi Gogi BBQ,No,263,$$
Cocktail Bars,4,Horsefeather,No,200,$$
Beer Bar,4,Almanac Taproom,Yes,218,$$
Vietnamese,4,Pho Huynh Hiep 2 - Kevin’s Noodle House,No,1511,$
Pizza,4.5,Montesacro Pinseria-Enoteca,No,528,$$
Breweries,3.5,Bartlett Hall,Yes,774,$$
Vietnamese,3.5,The Slanted Door,No,5410,$$$
Afghan,4.5,Helmand Palace,Yes,770,$$
Japanese,4,Sakesan Sushi & Bistro,Yes,984,$$
Cajun/Creole,4,Buttermilk Southern Kitchen,N/A,559,$$
Ramen,4,Slurp Ramen,No,384,$$
Seafood,4,Mission Street Oyster Bar & Seafood Restaurant,No,508,$$
American (New),4.5,Birdsong,No,110,$$$$
Italian,4,Delarosa,No,1390,$$
Thai,3.5,Osha Thai,No,2227,$$
Pizza,4.5,Little Star Pizza,No,2783,$$
Wine Bars,4,Amélie,No,1297,$$
Japanese,4,Shabu Club,No,627,$$
Korean,3.5,The Korean Kitchen,No,197,$$
Coffee & Tea,4,Farm : Table,No,1637,$$
French,4,Chez Marius,No,91,$$$
American (New),4,The Progress,No,744,$$$$
