Category,Overallrating,Name,Delivery,NumberReviews,PriceRange
Vietnamese,4,Aux Delices Vietnamese Restaurant,Yes,706,$$
Indian,4,Pakwan Restaurant - 16th Street,No,1653,$
American (New),4,Maybeck’s,No,262,$$$
American (New),4.5,Sorrel,No,124,$$$
Tapas/Small Plates,4,15 Romolo,No,1030,$$
Thai,4,Jitlada Thai Cuisine,Yes,590,$$
British,4.5,Lovejoy’s Tea Room,No,1134,$$
Breakfast & Brunch,4.5,Lapisara Eatery,No,337,$$
Vietnamese,4,Miss SaiGon,Yes,990,$$
Thai,4,Marnee Thai,No,1673,$$
Bars,4,The Buena Vista,No,2345,$$
Seafood,3.5,Plouf,No,1051,$$
Mediterranean,4,Terzo,No,596,$$$
Seafood,4,Woodhouse Fish,No,1591,$$
Cambodian,4.5,Braised + Bread,Yes,49,$$
American (Traditional),3.5,Perry’s,No,710,$$
Chinese,4,Kung Food,Yes,421,$
Middle Eastern,4,Bursa,No,735,$$
Breweries,3.5,Black Sands,Yes,261,$$
Brasseries,3.5,Bluestem Brasserie,No,1582,$$$
Wine Bars,4.5,High Treason,No,118,$$
American (New),4.5,Radio Africa Kitchen,No,311,$$
Mexican,4,Street Taco,No,523,$
Italian,2.5,Olive Garden Italian Restaurant,No,1056,$$
Fast Food,4,In-N-Out Burger,No,1712,$
Sushi Bars,4,Live Sushi Bar,No,1193,$$
Burgers,4,Super Duper Burgers,No,1213,$
Poke,4.5,Poke Fusion,Yes,64,$$
Asian Fusion,4,Foxsister,Yes,192,$$
Halal,4,Eden Silk Road Cuisine,Yes,146,$$
Japanese,4.5,jū-ni,No,236,$$$$
Wine Bars,3.5,Belga,No,408,$$
Chinese,4,Hai Ky Noodles,No,857,$
Malaysian,4,Lime Tree Southeast Asian Kitchen,Yes,286,$$
Thai,4,Nute’s,No,139,$$
Chicken Wings,4,Odumak,No,69,$$
Mediterranean,4,Palmyra,Yes,805,$
Japanese,3.5,Kui Shin Bo,No,658,$$
American (New),3.5,Presidio Social Club,No,1089,$$
Italian,4.5,The Italian Homemade Company,No,14,$$
German,4,Biergarten,No,521,$$
Sushi Bars,4,Ebisu,No,1698,$$
Spanish,4,Canela Bistro & Wine Bar,Yes,582,$$
Vietnamese,4,Mau,Yes,809,$$
French,4,Absinthe Brasserie & Bar,No,3161,$$$
Mediterranean,4.5,Fayala,Yes,221,$
American (Traditional),4,Eats,No,1030,$$
Italian,4,Amarena,Yes,552,$$
American (New),4,Archive Bar & Kitchen,No,312,$$
Pubs,4.5,The Dark Horse Inn,Yes,291,$$
Thai,3.5,Osha Thai,Yes,891,$$
French,4,Petit Crenn,No,338,$$$$
Italian,4.5,Dispensa Italian Charcoal Kitchen,No,64,$$$
Poke,4.5,I’a Poke,No,58,$$
Breakfast & Brunch,4.5,Hollywood Cafe,Yes,1908,$$
Indian,5,Amirah,Yes,3,$$
Latin American,4,Piqueo’s,No,621,$$$
Middle Eastern,4.5,Jannah,No,368,$$
Italian,4,Manzoni,No,218,$$
Hong Kong Style Cafe,3.5,Venus Cafe,Yes,59,$$
Sandwiches,4,Naked Lunch,No,596,$$
American (New),4.5,Frascati,No,1151,$$$
Breakfast & Brunch,4.5,The New Spot On Polk,Yes,385,$$
Seafood,3.5,The Old Clam House,No,767,$$
Basque,4,Piperade,No,845,$$$
Japanese,4.5,Hashiri,No,87,$$$$
Mexican,3.5,Tacolicious,N/A,1309,$$
Filipino,4,Señor Sisig,No,1440,$
Peruvian,4,La Fina Estampa,No,220,$$
Burgers,4.5,Burger Shack,No,157,$$
Cocktail Bars,4,Rooftop 25,N/A,81,$$
American (Traditional),3.5,Finn Town Tavern,Yes,335,$$
Ramen,4,Coco’s Ramen,No,414,$$
Japanese,4.5,Mamanoko,No,113,$$
Burgers,4,Calibur,Yes,331,$$
Steakhouses,4,Brazen Head,No,654,$$
Vietnamese,4,Tú Lan,No,662,$
Argentine,4.5,Tanguito,No,563,$
Tapas/Small Plates,4,Sugarhill Kitchen,Yes,64,$$
American (New),4,Whitechapel SF,No,398,$$
Indonesian,3.5,Borobudur Restaurant,No,870,$$
Vietnamese,4,Cafe Bunn Mi,No,1141,$
Vietnamese,4,Pho 2000,No,692,$
Barbeque,3.5,The Pub At Ghirardelli Square,No,855,$$
Mexican,4,Tacko,No,688,$$
Sandwiches,4.5,Roli Roti Gourmet Rotisserie,No,1383,$
Japanese,5,The Shota,No,14,$$
Pizza,4,Jersey,No,391,$$
Italian,4,Sociale,No,650,$$$
Peruvian,4,Mi Lindo Peru,No,702,$$
Vietnamese,4,Cordon Bleu,No,1016,$
Indian,4.5,Tara Indian Cuisine,Yes,278,$$
Mexican,4,Papito Hayes,No,499,$$
Vegan,4,Gracias Madre,Yes,2960,$$
Burmese,4.5,Golden Burma,Yes,99,$$
Caribbean,4.5,Isla Vida,Yes,49,$$
American (Traditional),4,Dottie’s True Blue Cafe,No,4170,$$
Thai,4,One Waan,Yes,151,$$
Russian,4.5,Pushkin,Yes,142,$
Pizza,4.5,Carmel Pizza Company,Yes,723,$$
Italian,3.5,Original Joe’s Westlake,No,827,$$
Barbeque,3.5,Southpaw BBQ,Yes,562,$$
Hot Pot,4,Fondue Chinoise,No,35,$$
Japanese,4,Glaze Teriyaki,Yes,426,$$
American (New),3,The Cheesecake Factory,Yes,2955,$$
Pizza,3.5,Calzone’s Restaurant,No,1403,$$
Turkish,5,Istanbul Modern SF,No,79,$$$
Vietnamese,3.5,Golden Star Vietnamese Restaurant,No,1182,$
Sushi Bars,4,Elephant Sushi,No,705,$$
Mexican,4.5,Casa Barajas,Yes,21,$
Taiwanese,4,Hanlin Tea Restaurant,Yes,417,$$
Korean,4,K-Elements BBQ,No,370,$$
French,4,Cafe Claude,No,1921,$$$
Italian,4,Caffe Sport,Yes,657,$$
Spanish,3.5,The Commissary,No,331,$$$
Pizza,4,Pizzeria Delfina - San Francisco,No,2240,$$
French,4,Chez Maman West,Yes,994,$$
Italian,4,La Briciola,No,869,$$
Seafood,3.5,Pier 23 Cafe,No,1598,$$
Indian,4,Aslam’s Rasoi,Yes,883,$$
Mexican,4,Matador,Yes,461,$$
French,4,Jardiniere,No,1609,$$$$
Japanese,4.5,Okkon Japanese Street Food,No,13,$$
Korean,4,Wang Dae Bak,No,239,$$
Mongolian,4,Little Sheep Mongolian Hot Pot,No,484,$$
Cocktail Bars,4,Lord George,No,236,$$
American (New),4,The Saratoga,No,248,$$$
Bars,4,Leo’s Oyster Bar,No,299,$$$
Cafes,5,Mauerpark,N/A,22,$
Cafes,4,Stonemill Matcha,No,407,$$
Latin American,4,Gilberth’s Latin Fusion Restaurant,Yes,306,$$
Barbeque,3.5,4505 Burgers & BBQ,No,1402,$$
Italian,4,Fino Ristorante & Bar,No,1070,$$
American (New),4,Garibaldi’s,No,522,$$$
Dim Sum,4,Good Luck Dim Sum,No,1479,$
Mexican,4,Flores,No,354,$$
Sandwiches,5,Limoncello,Yes,579,$$
Italian,4,Pane E Vino,No,383,$$
Indian,4,August 1 Five,Yes,594,$$
Wine Bars,4.5,Bodega,No,185,$$
Middle Eastern,4,Old Jerusalem Restaurant,Yes,993,$$
Italian,4,Mangia Tutti Ristorante,No,382,$$
Spanish,3.5,B44 Catalan Bistro,No,1009,$$$
Japanese,3.5,Udon Mugizo,Yes,618,$$
Ramen,4,Fumi Japanese Curry & Ramen,No,281,$$
Chicken Shop,4.5,Rooster & Rice,No,401,$$
Chinese,3.5,Tēo Restaurant & Bar,Yes,257,$$
Mexican,4.5,Californios,No,254,$$$$
Sushi Bars,4,Sushi Bistro,No,1506,$$
Japanese,4,Kufuya Japanese Restaurant,No,483,$$
Dim Sum,4,Dim Sum Club,No,335,$$
Bars,4,The Monk’s Kettle,Yes,2098,$$
Sports Bars,4,San Francisco Athletic Club,Yes,213,$$
Indian,4,Amber India,Yes,1970,$$$
Coffee & Tea,4.5,Lou’s Cafe,Yes,1412,$
Pizza,5,Gusto Pinsa Romana,N/A,11,$$
Breweries,3.5,Magnolia Haight,No,1745,$$
French,4,Baker Street Bistro,No,588,$$
Filipino,5,Turo Cafe and Grill,Yes,19,$
Burgers,3,Burger Bar,Yes,2199,$$
Sports Bars,4,Local Tap,No,170,$$
Korean,3.5,Arang Restaurant,No,589,$$
American (New),4.5,20 Spot,No,228,$$
Hot Pot,4,Simmer,No,139,$$
Burgers,4,Super Duper Burgers,No,785,$$
Chinese,4,Yuanbao Jiaozi,No,147,$
Irish,4,Johnny Foley’s,No,1198,$$
American (Traditional),4.5,Counter Offer,No,28,$
Bars,3.5,Cha Cha Cha,No,1876,$$
Conveyor Belt Sushi,4,Warakubune Sushi,No,558,$$
Mexican,4,Pancho Villa Taqueria,Yes,2393,$
Wine Bars,4,The Social Study,No,424,$$
Italian,4,Mona Lisa Restaurant,Yes,1312,$$
Sushi Bars,4.5,An Japanese Restaurant,No,119,$$$$
Pubs,4,Richmond Republic Draught House,Yes,321,$$
Chinese,4,The Pot’s,Yes,649,$$
Mexican,4,Papito Potrero Hill,No,642,$$
Hawaiian,4,Hawaiian Drive Inn,No,327,$
Japanese,4.5,Keiko à Nob Hill,No,386,$$$$
American (Traditional),4,Tempest,No,685,$
Korean,4,707 Sutter,No,575,$$
Wine Bars,4,Jamber,No,630,$$
Pizza,4,Pachino Trattoria & Pizzeria,Yes,521,$$
Bars,4,Don Pistos Tequila Bar,Yes,124,$$
Szechuan,4,Spices,Yes,131,$$
Bakeries,4.5,Arizmendi Bakery,No,1822,$
Sports Bars,3.5,The Royal Exchange,No,536,$$
Vietnamese,3.5,Mai’s Vietnamese Restaurant,No,296,$
Russian,4.5,Borsch Mobile,No,20,$$
Bars,3.5,Palmer’s,No,235,$$
Wine Bars,4,Union Larder,No,123,$$
Indian,4,Saffron Grill,Yes,486,$$
Mexican,4,Colibri Mexican Bistro,No,2169,$$
Vietnamese,4,DragonEats,No,326,$
Italian,3.5,Jackson Fillmore Trattoria,No,451,$$
Vietnamese,4,Anh Hong Bo 7 Mon,No,534,$$
Turkish,4,SINI,Yes,94,$$
Sandwiches,4,Blue Barn Gourmet,No,835,$$
Japanese,4.5,Pokihub,N/A,224,$$
Sushi Bars,4,Ginza Sushi & Sake,Yes,387,$$
Italian,4,Capannina,No,793,$$$
American (New),3.5,The Brixton,No,796,$$
Mediterranean,4,Truly Mediterranean,Yes,1148,$
Mexican,3,Arguello,No,274,$$
American (Traditional),4,Dobbs Ferry Restaurant,No,544,$$
Pizza,4.5,Ardiana,No,89,$$
Italian,4,La Traviata,Yes,559,$$
Ethiopian,4.5,Oasis Cafe,No,210,$$
Mediterranean,4.5,Mangiare SF,No,108,$$
Pubs,4,Grumpy’s American Pub,No,327,$$
Dim Sum,4,Toppu Ramen & Dim Sum House,Yes,124,$$
Italian,3.5,North Beach Restaurant,No,763,$$$
Breakfast & Brunch,5,La Cuisine Café,No,7,$
Delis,4.5,Deli Board,No,1188,$$
Sushi Bars,3.5,Ozumo,Yes,2029,$$$
Japanese,4.5,Wako Japanese Restaurant,No,480,$$$$
Cafes,4.5,Manny’s,N/A,28,$$
Asian Fusion,4,Champa Garden,Yes,659,$$
Ramen,4,Miki Restaurant,No,457,$$
Middle Eastern,4,Taboun,No,216,$
Sports Bars,4,The Taco Shop At Underdog’s,No,1731,$$
Burgers,4,Super Duper Burgers,No,1249,$$
Comfort Food,4.5,Belle Cora,No,66,$$
Indian,4.5,Tilak,Yes,157,$$
American (Traditional),4,Buster’s Cheesesteak,Yes,757,$
Mexican,5,Flor De Izote,N/A,2,$
Southern,4,Hazel Southern Bar & Kitchen,No,336,$$
Japanese,4,Camp BBQ,No,225,$$
Burgers,3,Umami Burger Soma District,Yes,931,$$
Tapas/Small Plates,4,Beso Bistronomia,No,370,$$
American (New),3.5,Town Hall,No,1888,$$$
Mediterranean,4.5,SF Kebab,No,217,$$
Breakfast & Brunch,4.5,Morning Wood,N/A,3,$
Italian,4,Trattoria da Vittorio,Yes,626,$$
Seafood,3,Alioto’s Restaurant,No,1654,$$
Barbeque,3.5,Carbon Grill,No,411,$$
Mediterranean,4,Zaytoon Mediterranean,Yes,52,$$
Bars,4,Parkside Tavern,No,522,$$
American (Traditional),4,Smokin’ Warehouse Barbecue,No,145,$$
Gluten-Free,4.5,Hot Spud,Yes,484,$
Turkish,4,A La Turca Restaurant,Yes,759,$$
Vietnamese,4.5,DragonEats,No,333,$
American (New),3.5,Black Cat,No,301,$$
American (New),4,Olea,No,892,$$
Vietnamese,4,Turtle Tower,No,634,$
Ethiopian,4.5,Tadu Ethiopian Kitchen,No,145,$$
Gastropubs,4,Bistro SF Grill,Yes,125,$$
Italian,4,Ideale,No,705,$$
Seafood,3.5,Chowders,No,752,$
Cuban,4,Media Noche,Yes,274,$$
Breakfast & Brunch,4,Friends with Benedicts Pop Up,No,150,$$
Vietnamese,3.5,My Father’s Kitchen,No,417,$$
Chinese,3.5,Fang,No,1468,$$
Themed Cafes,4.5,KitTea Cat Cafe,No,543,$$
Indian,4,Holy Kitchen,Yes,231,$$
Nicaraguan,4,El Rinconcito Nicaraguense,No,29,$$
Tacos,4.5,Chisme Cantina,Yes,246,$$
Gastropubs,4,Mikkeller Bar,No,1130,$$
Hawaiian,4,Poki Time,Yes,443,$$
Korean,4,Matko,No,53,$$
American (New),4.5,Cultivar San Francisco,No,83,$$
Italian,4.5,AltoVino,No,43,$$$
Steakhouses,4,Bullshead Restaurant,No,781,$$
Italian,3.5,SPQR,No,1887,$$$
Pizza,4,Acquolina,Yes,399,$$
Italian,4,Rocco’s Café,No,895,$$
Beer Gardens,4.5,Ocean Ale House,No,191,$$
Indian,4.5,Lotus SF,Yes,134,$$
Cocktail Bars,4,Southside Spirit House,No,281,$$
Peruvian,3.5,Limón Rotisserie,No,2374,$$
Pop-Up Restaurants,5,ChiliCali,No,15,$$
Delis,4.5,Molinari Delicatessen,Yes,1034,$$
Japanese,4.5,Nara,No,108,$$
Coffee & Tea,4,Mission Beach Cafe,No,2612,$$
Tapas/Small Plates,4.5,Kaiju Cooks,No,67,$$
Bars,4,Bon Voyage,N/A,42,$$
Mediterranean,4,Layaly,Yes,401,$$
Hot Pot,4.5,The Place Hot Pot & Grill,N/A,12,$$
Chinese,3.5,House of Nanking,No,3157,$$
Mexican,4,El Rancho Grande,No,314,$
Burgers,4,Roam Artisan Burgers,No,1489,$$
Burgers,4,Halal Wings Plus,No,343,$$
Italian,4.5,Osteria Bella,Yes,45,$$
Ethiopian,4,Assab Eritrean Restaurant,No,659,$$
Burgers,3,Hamburger Mary’s,No,161,$$
Indian,4.5,A Desi Cafe,Yes,236,$$
Cafes,5,Word. A Cafe,N/A,5,$$
Indian,3.5,Besharam,No,82,$$
Thai,4,Tamarind Hall,Yes,384,$$
Bars,4,The Spot Lounge,No,543,$$
Chinese,3.5,Terra Cotta Warrior,No,450,$$
Halal,3.5,The Halal Guys - San Francisco,Yes,660,$$
Korean,4,Dancing Bull,No,224,$$
Ramen,4,Ushio Ramen,No,163,$$
Mexican,4,Taqueria Guadalajara,No,865,$
American (New),4,AL’s Place,No,653,$$$
Cocktail Bars,3.5,Rambler,No,388,$$
Bars,3.5,Teeth SF,No,961,$$
Seafood,3.5,Capurro’s,No,747,$$
American (New),4,Gibson,No,115,$$$
American (Traditional),4,Marengo On the Alley,No,128,$$
Turkish,4,Pera,No,557,$$
Seafood,3.5,Pacific Catch,Yes,1675,$$
Breakfast & Brunch,4,American Grilled Cheese Kitchen,Yes,1454,$$
Burgers,4,WesBurger ‘N’ More,No,453,$$
Ramen,3.5,Ramen Yamadaya,No,1236,$$
Sports Bars,4,The Boardroom,No,409,$
Sushi Bars,4,Eiji,No,1049,$$
Bars,3.5,Tap415,Yes,405,$$
American (New),4,Mr Pollo,No,553,$$
American (New),3.5,Dirty Habit,No,540,$$
Japanese,4,Sakesan Sushi & Robata,Yes,138,$$
Vietnamese,4.5,Saigon Sandwich,No,3095,$
Vietnamese,3.5,Co Nam,Yes,399,$$
Soul Food,4,Frisco Fried,No,387,$$
Japanese,4,Udon Underground,N/A,27,$$
Seafood,4.5,Ayala Restaurant,No,6,$$
Mediterranean,4,Oasis Grill,Yes,1188,$
Italian,4,Locanda,No,946,$$$
Mediterranean,4.5,Tuba Express Mediterranean Kebab & Gyro,Yes,136,$$
Italian,4,Magic Flute Ristorante,No,521,$$
Bars,4,The Fly Trap,No,947,$$$
Italian,4,Poesia,Yes,727,$$$
Greek,3.5,Goood Frikin Chicken,Yes,881,$$
Cocktail Bars,3,Sabrosa,No,364,$$
Diners,4,Art’s Cafe,No,1051,$
Dim Sum,3.5,Hong Kong Lounge II,No,889,$$
New Mexican Cuisine,3.5,Green Chile Kitchen,Yes,1252,$$
Coffee & Tea,4.5,Cafe de Casa,No,328,$$
Falafel,4,SAJJ Mediterranean,Yes,94,$$
Noodles,4.5,MOMO noodle,Yes,2,$
Creperies,4.5,Crepes A Go Go,No,559,$
American (Traditional),4,1428 HAIGHT Patio Cafe & Crepery,Yes,319,$$
Coffee & Tea,4.5,6th and B,No,162,$$
Asian Fusion,4,pomelo on Judah,No,424,$$
Thai,4,Rooster & Rice,No,199,$$
Vietnamese,3.5,Perilla,Yes,101,$$
Ramen,3,The Ramen Bar,Yes,586,$$
Thai,4,Amphawa,Yes,412,$$
Burgers,4,Hall Of Flame Burgers,Yes,504,$$
Gastropubs,4,The Sycamore,Yes,699,$$
Modern European,4,Dolce Amore,Yes,427,$$
Sushi Bars,4,Sushi Zone,No,1026,$$
Szechuan,4,Sizzling Pot King,Yes,115,$$
Japanese,4.5,"Bon, Nene",No,149,$$
Hot Dogs,4.5,Rosamunde Sausage Grill - San Francisco,Yes,1579,$
Wine Bars,4.5,Noeteca Wine Bar,Yes,443,$$
Burgers,3.5,Gott’s Roadside,No,2527,$$
Mexican,4,Toma,Yes,281,$
Chinese,4,Hong Kong Clay Pot Restaurant,Yes,789,$$
Sports Bars,4,Bistro Gambrinus,No,289,$$
Greek,4,Souvla,Yes,261,$$
Coffee & Tea,5,Piccolo Petes Cafe,No,239,$
Seafood,4,Luke’s Lobster SoMa,Yes,128,$$
Seafood,3.5,Blue Mermaid Restaurant,No,707,$$
Pubs,4,Beer 39,No,126,$$
Vegan,4,VeganBurg,Yes,639,$$
Ramen,4,RakiRaki Ramen & Tsukemen,No,68,$$
Burgers,3.5,Wipeout Bar & Grill,No,1199,$$
Thai,4,Zen Yai Thai Restaurant,No,606,$
French,3.5,Café de la Presse,No,1510,$$
Ethiopian,4,New Eritrea Restaurant & Bar,Yes,696,$$
Russian,4.5,Silk Road,No,101,$
Wine Bars,4,Wine Kitchen,No,168,$$
Pizza,4.5,Long Bridge Pizza,No,405,$$
Steakhouses,4,Leatherneck Steakhouse,No,281,$$$
Thai,4,Thai Time Restaurant,Yes,773,$
Sushi Bars,4.5,Saru Sushi Bar,No,775,$$$
Dim Sum,3.5,Lai Hong Lounge,No,750,$$
Latin American,4,Artesano,Yes,269,$$
Bars,4,Asiento,No,332,$$
Sushi Bars,4.5,Kuma Sushi + Sake,No,254,$$
Mexican,4,El Burrito Express,No,680,$
Lounges,4,Comstock Saloon,No,899,$$
Thai,3.5,Osha Thai Restaurant,Yes,1609,$$
Seafood,4,Crazy Crab’z,No,222,$$
Mexican,4.5,Chicano Nuevo,Yes,26,$$
French,4,Cafe Jacqueline,No,618,$$$
Do-It-Yourself Food,4.5,Yummy Dumpling,No,93,$
American (New),4.5,The Vista Room,No,48,$$
Seafood,4,Balompie Cafe No 3,No,310,$
Sports Bars,4,7 Mile House,Yes,954,$$
Ramen,3.5,Waraku,No,790,$$
Asian Fusion,4,1601 Bar & Kitchen,No,245,$$$
Bars,4,Fly Bar,No,737,$$
Italian,4,Da Flora-A Venetian Osteria,No,289,$$$
American (New),3.5,Salt House,No,1693,$$$
Soul Food,3.5,Hard Knox Cafe,Yes,1628,$$
Japanese,4.5,Hot Zushi,No,123,$$
Thai,4,Siam Lotus Thai Cuisine,No,412,$$
Thai,4.5,Derm Restaurant,Yes,110,$$
Chinese,4,People’s Bistro,Yes,123,$
Ramen,4,Amami,No,96,$$
Italian,4,Franchino,No,1056,$$
Middle Eastern,4,Yemeni Restaurant,Yes,408,$$
Hawaiian,4,Pacific Eatery,Yes,39,$
Bubble Tea,4.5,Urban Ritual,Yes,251,$
Chinese,4.5,New Fortune Restaurant,No,24,$
Sushi Bars,4,Domo,No,857,$$
Falafel,4.5,The Flying Falafel,Yes,811,$
Dim Sum,3.5,Yank Sing,No,2426,$$$
Breakfast & Brunch,4,Beachside Coffee Bar & Kitchen,No,768,$$
Karaoke,4.5,Underground Grill King,No,44,$
Mexican,4,El Buen Comer,No,246,$$
Scandinavian,4.5,Kantine,No,77,$$
Vietnamese,4,Pho Tan Hoa,No,595,$
American (Traditional),4,Louie’s Bar,No,396,$$
Breakfast & Brunch,4,Pomelo,No,697,$$
Vegan,4.5,Nick’s Kitchen,No,165,$$
Gastropubs,3.5,Patriot House,No,154,$$
Japanese,4,Kagawa-Ya Udon,Yes,217,$$
Middle Eastern,4.5,Yemen Kitchen,Yes,153,$$
Sushi Bars,4.5,Ijji Sushi,No,162,$$$$
Szechuan,4,Sichuan Home,No,392,$$
Dim Sum,3.5,Great Eastern Restaurant,No,1861,$$
Pizza,4,Slice House,Yes,302,$$
Dim Sum,4,Dol Ho,No,344,$
Italian,4,Osteria,No,248,$$
Ethiopian,4,Sheba Piano Lounge,No,556,$$
French,4,Gamine,No,882,$$
Cantonese,4,Kam Po Kitchen,No,417,$
Cafes,4,B on the Go,No,163,$$
American (Traditional),4,Jenny’s Burgers,No,553,$
Japanese,4,Kaisen DON,Yes,192,$$
Wine Bars,4.5,Howells,No,29,$$
Sandwiches,4.5,Wooly Pig,No,609,$
American (New),4,Gardenias,No,108,$$$
Pizza,4,Little Star Pizza,Yes,1966,$$
Italian,3.5,A16,No,1915,$$$
American (Traditional),4,Chow,No,1932,$$
Hot Dogs,4.5,On Dog Dog,No,42,$
Burgers,4,The Chieftain Irish Pub & Restaurant,No,823,$$
Pizza,4,Firepie,Yes,227,$$
Noodles,3.5,Suzu Noodle House,No,1412,$$
Seafood,3,McCormick & Kuleto’s Seafood & Steaks,No,1136,$$$
American (New),4,Commonwealth,No,1011,$$$
Japanese,4,Umi,No,573,$$
Italian,4,Gaspare’s Pizza House & Italian Restaurant,Yes,893,$$
Caribbean,4,Peaches Patties Jamaican Kitchen,N/A,35,$$
Italian,4,Venticello Ristorante,No,481,$$$
American (New),4,Parallel 37,No,199,$$$$
Soul Food,4,Auntie April’s Chicken-n-Waffles,No,598,$$
French,3.5,Cafe Bastille,No,714,$$
Korean,4,Shin Toe Bul Yi,No,583,$$
Argentine,4,El Sur,Yes,109,$
South African,4,Amawele’s South African Kitchen,No,209,$
Cafes,4,Boba Guys,No,475,$
American (New),4,Nightbird,No,120,$$$$
Seafood,3.5,ATwater Tavern,No,264,$$
Breakfast & Brunch,4,Mymy,No,1530,$$
Dim Sum,3.5,MaMa Ji’s,No,689,$$
