Category,Overallrating,Name,Delivery,NumberReviews,PriceRange
Sushi Bars,4.0,Tataki,No,1199,$$
Mediterranean,4.5,Lokma,Yes,159,$$
Mexican,4.0,Tropisueño,No,4029,$$
Chicken Wings,4.5,Hot Sauce and Panko,Yes,1014,$
American (Traditional),4.0,Eats,No,1030,$$
Thai,4.0,Blackwood,Yes,1376,$$
Seafood,4.0,PPQ Dungeness Island,No,2874,$$
Italian,4.0,Trattoria Contadina,No,1242,$$
Burmese,4.0,B Star Bar,No,1768,$$
Japanese,4.0,Sanraku,No,1520,$$
Italian,4.5,Castagna,No,357,$$
American (New),4.5,Benu,No,993,$$$$
Sandwiches,5.0,Hotbird,No,34,$
Coffee & Tea,5.0,Piccolo Petes Cafe,No,238,$
American (New),4.0,Serpentine,No,1468,$$
French,4.0,Quince,No,1399,$$$$
Cocktail Bars,4.0,Horsefeather,No,200,$$
Laotian,4.0,Lao Table,Yes,681,$$
Vietnamese,4.5,DragonEats,No,155,$
French,4.5,Chez Maman East,Yes,1952,$$
Italian,4.0,Cotogna,No,1311,$$$
Mediterranean,4.0,NoVY Restaurant,Yes,358,$$
Seafood,3.0,Bubba Gump Shrimp,No,1656,$$
Ramen,4.0,Iza Ramen Lower Haight,No,592,$$
Diners,4.0,Art’s Cafe,No,1052,$
Izakaya,4.5,Izakaya Sushi Ran,No,14,$$$
Caribbean,4.0,Cha Cha Cha,No,3121,$$
Portuguese,4.0,Uma Casa,No,219,$$$
Bars,4.0,The Buena Vista,No,2346,$$
Italian,4.0,Credo,Yes,799,$$
American (New),4.0,Eureka Restaurant & Lounge,No,592,$$
Tapas/Small Plates,4.0,barvale,No,199,$$
American (Traditional),4.0,Spruce,No,1805,$$$$
Seafood,4.0,La Mar Cebichería Peruana,No,3436,$$$
Pizza,5.0,Square Pie Guys,No,27,$$
American (New),4.0,Boulevard,No,2563,$$$$
Dim Sum,4.0,Dumpling Time,No,1117,$$
Greek,4.5,Kitchen Istanbul,No,430,$$
Wine Bars,4.0,Amélie,No,1298,$$
Middle Eastern,4.0,La Mediterranee,Yes,1423,$$
Seafood,4.0,Swan Oyster Depot,No,2558,$$
Italian,4.0,Beretta,No,3378,$$
Spanish,4.0,Alegrias,No,738,$$
Seafood,4.0,Woodhouse Fish Company,No,2090,$$
Italian,4.0,Capo’s Chicago Pizza,Yes,708,$$
German,4.5,Leopold’s,No,995,$$
Taiwanese,4.0,HoDaLa,Yes,267,$$
Korean,4.5,Saucy Asian,No,229,$$
American (New),4.0,Firefly Restaurant,No,1421,$$$
Ramen,4.0,Hinodeya Ramen Bar,No,765,$$
Latin American,4.5,La Fusión,No,1077,$$
Mexican,4.0,Nopalito,No,1766,$$
Indian,4.0,ROOH,No,491,$$$
Indian,4.0,DOSA on Fillmore,No,2830,$$$
Scandinavian,4.0,Kantine,No,79,$$
Latin American,4.0,El Techo,No,1590,$$
Italian,4.0,Original Joe’s,No,1204,$$
Cafes,4.5,Diamond Cafe,No,118,$$
American (New),4.0,Barbarossa Lounge,No,350,$$
Seafood,4.5,Anchor Oyster Bar,No,1403,$$$
American (Traditional),4.5,Creator,No,114,$$
Breakfast & Brunch,4.5,Morning Wood,N/A,3,$
French,4.5,L’Ardoise Bistro,No,1201,$$$
Ramen,4.0,Izakaya Sozai,No,1988,$$
Sushi Bars,4.0,Akiko’s Restaurant,No,1763,$$
Filipino,4.5,Tselogs,No,478,$
French,4.5,Bistro Central Parc,No,907,$$$
Italian,4.0,Rocco’s Café,No,896,$$
Tea Rooms,4.0,Samovar Tea - Yerba Buena Gardens,Yes,2245,$$
Seafood,4.5,Red Hill Station,No,362,$$
American (New),4.0,Twenty Five Lusk,No,1353,$$$
Moroccan,4.0,El Mansour,No,569,$$$
Vietnamese,4.5,Khai,No,120,$$$$
Italian,4.0,Bella Trattoria,No,1293,$$
Mediterranean,4.5,Souvla,Yes,361,$$
Chinese,4.0,House Of Pancakes,No,818,$
Sushi Bars,4.5,Shizen Vegan Sushi Bar & Izakaya,No,1242,$$
Thai,4.0,Kin Khao,No,1694,$$
Filipino,4.5,Malasa,Yes,113,$$
Burmese,4.0,Mandalay,No,2062,$$
Chinese,4.0,Dumpling Kitchen,No,1330,$$
Chinese,4.0,Mister Jiu’s,No,475,$$$$
American (New),4.5,Stones Throw,No,860,$$$
Grocery,4.5,Italian Homemade Company,Yes,1198,$$
Mexican,4.0,Nopalito,No,1180,$$
Dim Sum,4.0,Delicious Dim Sum,No,844,$
Latin American,4.5,The Castro Republic,Yes,267,$$
Breakfast & Brunch,4.0,Foreign Cinema,No,4560,$$$
Italian,4.0,Zuni Café,No,2614,$$$
Himalayan/Nepalese,4.5,Cuisine of Nepal,Yes,458,$$
Japanese,4.0,Marugame Udon,No,1055,$$
Italian,4.5,Seven Hills,No,922,$$$
German,4.0,Suppenküche,No,3024,$$
Mediterranean,4.0,Troya,No,481,$$
Breakfast & Brunch,4.0,Mymy,No,1531,$$
Seafood,4.5,Golden Crab House,No,41,$$
Breakfast & Brunch,4.0,Griddle Fresh,No,921,$$
American (New),4.5,Lazy Bear,No,511,$$$$
Seafood,4.0,Dragon Beaux,No,1208,$$
American (New),4.0,Cassava,No,786,$$
Steakhouses,4.0,Lolinda,No,1777,$$$
American (Traditional),4.0,1428 HAIGHT Patio Cafe & Crepery,Yes,319,$$
French,4.5,Mathilde French Bistro,No,193,$$$
Soul Food,4.5,Old Skool Cafe,No,506,$$
Ramen,4.0,Izakaya Roku,No,408,$$
Ramen,4.0,Ushi Taro,No,78,$$
Cajun/Creole,4.0,Buttermilk Southern Kitchen,Yes,561,$$
Italian,4.0,Barbacco,Yes,1539,$$
Mexican,4.0,El Farolito,No,4559,$
Gastropubs,4.5,Hogwash,No,945,$$
Coffee & Tea,4.0,Mission Beach Cafe,No,2612,$$
Burgers,4.5,Box Kitchen,No,725,$$
Japanese,4.5,Shabu House,N/A,28,$$
Breweries,3.5,Black Sands,Yes,262,$$
German,4.5,Cafe Europa,No,383,$$
Basque,4.0,Bask,Yes,564,$$
French,4.0,Chez Marius,No,91,$$$
Burgers,4.0,Hi-Way Burger & Fry,No,91,$$
Cocktail Bars,4.0,The Snug,No,128,$$
French,4.0,Cocotte,No,473,$$$
Korean,4.0,HRD,Yes,2387,$$
Breakfast & Brunch,4.5,Hollywood Cafe,Yes,1909,$$
Japanese,4.5,OzaOza,No,84,$$$$
American (New),4.0,Hillstone,No,2063,$$$
American (Traditional),4.0,Wayfare Tavern,No,3672,$$$
Chicken Shop,4.0,The Bird,No,1172,$
Steakhouses,4.0,5A5 Steak Lounge,No,2044,$$$
Bakeries,4.0,Good Mong Kok Bakery,No,2248,$
Noodles,4.0,Chubby Noodle,No,577,$$
Seafood,4.5,La Ciccia,No,1023,$$$
Burmese,4.0,Burma Superstar,No,6390,$$
Southern,4.0,Hops & Hominy,No,1959,$$
Bars,4.0,Cockscomb,No,1065,$$$
